text,label,binary_label,target_column
Hope you're having a good Labor Day holiday weekend.,1-RAPPORT,0,4-LOGIC
"However, would you be willing to donate a portion of your task payment to a worthy charity?",2-NEGOTIATE,0,4-LOGIC
hat's great!,1-RAPPORT,0,4-LOGIC
Any amount would be helpful.,3-EMOTION,0,4-LOGIC
"Wow, excellent!",1-RAPPORT,0,4-LOGIC
Very nice of you to do.,1-RAPPORT,0,4-LOGIC
The research team will collect all donations and send it to Save the Children.,8-NO-PERSUASION,0,4-LOGIC
These small donations will help a lot of children and their families.,3-EMOTION,0,4-LOGIC
"I don't know for sure. Hopefully, the research team conducting the study direct the funds over to the charity quickly.",8-NO-PERSUASION,0,4-LOGIC
Hey!,8-NO-PERSUASION,0,4-LOGIC
I'm doing pretty good.,1-RAPPORT,0,4-LOGIC
I'm not ready for this weekend to be over though.,1-RAPPORT,0,4-LOGIC
Ahh. I'm sorry.,1-RAPPORT,0,4-LOGIC
"I was on call all weekend, but I never got called in.",1-RAPPORT,0,4-LOGIC
Ahh.,1-RAPPORT,0,4-LOGIC
I think I'll be ok. It's kind of a part of life here on the Gulf.,8-NO-PERSUASION,0,4-LOGIC
I guess I should get into what this chat is supposed to be about.,8-NO-PERSUASION,0,4-LOGIC
That's understandable.,1-RAPPORT,0,4-LOGIC
I just bought a house so I'm having to save every bit I can. ,1-RAPPORT,0,4-LOGIC
Hello,8-NO-PERSUASION,0,4-LOGIC
"Please consider donating at least a small portion of your earnings from this task to a children\'s charity called ""Save the Children"". ",2-NEGOTIATE,0,4-LOGIC
Your donation would really be appreciated and can greatly assist with these children\'s lives.,3-EMOTION,0,4-LOGIC
Doing so would ensure you can be part of the solution.  ,3-EMOTION,0,4-LOGIC
"They are facing mortality, none and minimal education opportunities, and violence",3-EMOTION,0,4-LOGIC
These are children in war zones,3-EMOTION,0,4-LOGIC
Save the Children is an 18 year old professional organization,5-AUTHORITY,0,4-LOGIC
Great!,1-RAPPORT,0,4-LOGIC
How much would you like to donate?,2-NEGOTIATE,0,4-LOGIC
Great! Thank you very much!,1-RAPPORT,0,4-LOGIC
Since you have the ease of this being deducted from your task payment would you be interested in increasing your donation amount to $1?,2-NEGOTIATE,0,4-LOGIC
Great!,1-RAPPORT,0,4-LOGIC
"Ok, thank you very much for the kind response!",1-RAPPORT,0,4-LOGIC
Would you be interested in increasing to $0.51?,2-NEGOTIATE,0,4-LOGIC
Ok great!,1-RAPPORT,0,4-LOGIC
Thank you very much for agreeing to donate $0.55!,1-RAPPORT,0,4-LOGIC
You have made a difference today in the lives of these children. ,3-EMOTION,0,4-LOGIC
Thank you and please have a wonderful day!,1-RAPPORT,0,4-LOGIC
We really need some donations for Save the Children in any amount of money,2-NEGOTIATE,0,4-LOGIC
"It helps kids from starving and with education,safety etc",3-EMOTION,0,4-LOGIC
That is very nice of you. ,1-RAPPORT,0,4-LOGIC
Yeah and I don't blame you.,1-RAPPORT,0,4-LOGIC
Is PANDA for Mturks?,8-NO-PERSUASION,0,4-LOGIC
"I've heard of it but haven't downloaded it yet but I guess I should. One last thing, Do scripts make your turking faster or what is the meaning of them. I know computers but never used scripts.",8-NO-PERSUASION,0,4-LOGIC
I've heard of it but haven't downloaded it yet but I guess I should.,8-NO-PERSUASION,0,4-LOGIC
"One last thing, Do scripts make your turking faster or what is the meaning of them.",8-NO-PERSUASION,0,4-LOGIC
I know computers but never used scripts.,8-NO-PERSUASION,0,4-LOGIC
Hi. How are you this evening? ,1-RAPPORT,0,4-LOGIC
"I'm good, thank you. ",1-RAPPORT,0,4-LOGIC
"Yes, I do. ",8-NO-PERSUASION,0,4-LOGIC
"Yes, I support this charity and yes, I will. ",1-RAPPORT,0,4-LOGIC
Do you have children? ,1-RAPPORT,0,4-LOGIC
I'm still deciding.,8-NO-PERSUASION,0,4-LOGIC
How much would you like to donate to this charity now? ,2-NEGOTIATE,0,4-LOGIC
"Yes, we do ",8-NO-PERSUASION,0,4-LOGIC
MANY CHILDREN ARE DYING ,3-EMOTION,0,4-LOGIC
THERE ARE FEEL SO SAD ,3-EMOTION,0,4-LOGIC
HOW MUCH DO YOU DONATE THEM.,2-NEGOTIATE,0,4-LOGIC
KEEP DONATE TO THE CHILD  ITS VERY HELP TO THE EDUCATION AND HEALTH,3-EMOTION,0,4-LOGIC
GOD BLESS THEM AND YOU ALSO WISH THEM.,8-NO-PERSUASION,0,4-LOGIC
You would be shocked at how many children live in poverty here in the United States.,3-EMOTION,0,4-LOGIC
"Well, a very specific goal right is to help the children that are separated from their parents due to our current immigration problem.",3-EMOTION,0,4-LOGIC
"Can you imagine someone taking your small child away from you and not knowing where they are going, who is going to be caring for them, or if you will ever be able to see them again?",3-EMOTION,0,4-LOGIC
"As a mother, that thought is horrifying.",3-EMOTION,0,4-LOGIC
Would you be willing to donate your pay for this task to Save the Children so they can continue to provide care for these misplaced children? ,2-NEGOTIATE,0,4-LOGIC
It really is a great charity and has been around for over 100 years!,5-AUTHORITY,0,4-LOGIC
It has been a pleasure chatting with you and donating your task pay to this fine cause should get you some good Karma for the remainder of your day!!,1-RAPPORT,0,4-LOGIC
You are quite welcome!!,1-RAPPORT,0,4-LOGIC
"ok, I will get it out to as soon as possible!",8-NO-PERSUASION,0,4-LOGIC
Hi have you ever done a task like this before?,8-NO-PERSUASION,0,4-LOGIC
Yes children really need your help. There are children in war zones and under developed countries just begging for help. ,3-EMOTION,0,4-LOGIC
Would you like to offer some help?,2-NEGOTIATE,0,4-LOGIC
Yes children really need your help.,3-EMOTION,0,4-LOGIC
That would be great.,1-RAPPORT,0,4-LOGIC
Would you like to donate today?,2-NEGOTIATE,0,4-LOGIC
How much would you like to donate?,2-NEGOTIATE,0,4-LOGIC
Thanks for your donation.,1-RAPPORT,0,4-LOGIC
"Yes they can, thanks again",8-NO-PERSUASION,0,4-LOGIC
I am great.,1-RAPPORT,0,4-LOGIC
Thank you for asking!,1-RAPPORT,0,4-LOGIC
Glad to hear that you are doing well.,1-RAPPORT,0,4-LOGIC
We are asking any supporters to donate $1 or $2 towards the Save the Children fund.,2-NEGOTIATE,0,4-LOGIC
We are an international non-governmental organization.,5-AUTHORITY,0,4-LOGIC
Any small or big donation will help make an impact on children growing up in developing countries.,3-EMOTION,0,4-LOGIC
what do you say? ,2-NEGOTIATE,0,4-LOGIC
That is great! Thank you for your help and kindness.,1-RAPPORT,0,4-LOGIC
That is great!,1-RAPPORT,0,4-LOGIC
After ten conversations. So very soon!,8-NO-PERSUASION,0,4-LOGIC
So very soon!,8-NO-PERSUASION,0,4-LOGIC
Hello there!,8-NO-PERSUASION,0,4-LOGIC
I read an article yesterday that said 1000 children were saved from hunger shelters just by donations from online workers.,3-EMOTION,0,4-LOGIC
"Actually, the donation has to be in relation to your payment, what percentage of that are you willing to donate?",2-NEGOTIATE,0,4-LOGIC
"5%, that wonderful.",1-RAPPORT,0,4-LOGIC
Would you like to make a small donation to the Save the Children organization?,2-NEGOTIATE,0,4-LOGIC
 I respect that decision.,1-RAPPORT,0,4-LOGIC
I completely understand.,1-RAPPORT,0,4-LOGIC
We have hardships in life that make it impossible to reach out and aid others.,1-RAPPORT,0,4-LOGIC
"You have to take care of yourself first, because no one else will.",1-RAPPORT,0,4-LOGIC
I hope things are able to get better for you.,1-RAPPORT,0,4-LOGIC
"Anyway, I thought the 10 turns would have been up by now.",8-NO-PERSUASION,0,4-LOGIC
I'm guessing 10 per person.,8-NO-PERSUASION,0,4-LOGIC
I'm sorry this HIT is intended to pit us against one another for a reward.,8-NO-PERSUASION,0,4-LOGIC
How have you spent your weekend?,1-RAPPORT,0,4-LOGIC
I had to work this morning so it threw me off.,1-RAPPORT,0,4-LOGIC
that will be fun! what industry are you in when you're working?,1-RAPPORT,0,4-LOGIC
my husband is an engineer. Great industry. You'll find a new job in no time. ,1-RAPPORT,0,4-LOGIC
You'll find a new job in no time.,1-RAPPORT,0,4-LOGIC
my husband is an engineer.,1-RAPPORT,0,4-LOGIC
Great industry.,1-RAPPORT,0,4-LOGIC
i hope you get well soon. there has to be some positivity coming your way soon after all this rough stuff.,1-RAPPORT,0,4-LOGIC
i do!,1-RAPPORT,0,4-LOGIC
I have a daughter and a son.,1-RAPPORT,0,4-LOGIC
We are doing a 5k tomorrow.,1-RAPPORT,0,4-LOGIC
how about 5 cents?,2-NEGOTIATE,0,4-LOGIC
ok great thanks! have a nice weekend. i'll be praying for your health to improve.,1-RAPPORT,0,4-LOGIC
ok great thanks!,1-RAPPORT,0,4-LOGIC
have a nice weekend.,1-RAPPORT,0,4-LOGIC
"Fine, thank you. Can i get you to do a favor for me? ",2-NEGOTIATE,0,4-LOGIC
I was just thinking that maybe we could take our earnings from the task and mmake  donation to Save the Children... ,2-NEGOTIATE,0,4-LOGIC
Cool... You're awesome! Thanks for being so generous...,1-RAPPORT,0,4-LOGIC
Cool...,1-RAPPORT,0,4-LOGIC
You're awesome!,1-RAPPORT,0,4-LOGIC
Do you have any kids or are you just wanting to help out just because? ,1-RAPPORT,0,4-LOGIC
I know,1-RAPPORT,0,4-LOGIC
hello,8-NO-PERSUASION,0,4-LOGIC
would you donate,2-NEGOTIATE,0,4-LOGIC
im saying for children,8-NO-PERSUASION,0,4-LOGIC
to be honest i dont really know,8-NO-PERSUASION,0,4-LOGIC
i use to yes,8-NO-PERSUASION,0,4-LOGIC
that i dont know do you know,8-NO-PERSUASION,0,4-LOGIC
I'm good. so i was wondering if you would be willing to donate some of your earnings along with me to this charity ?,2-NEGOTIATE,0,4-LOGIC
"ok, well would you be willing to donate to the charity called save the children ? even just 5 cents ",2-NEGOTIATE,0,4-LOGIC
"I do not receive any, actually i match every person who donates anything under $20, i also have another job that i work and do this in my free time. ",1-RAPPORT,0,4-LOGIC
i work for a company called gordon food service ,1-RAPPORT,0,4-LOGIC
hello...,8-NO-PERSUASION,0,4-LOGIC
"yes,what about you?",1-RAPPORT,0,4-LOGIC
"Yes ,are you interested in donating?",2-NEGOTIATE,0,4-LOGIC
Thank you :),1-RAPPORT,0,4-LOGIC
"I frequently make trips to Uganda for our organization, and on my last visit saw a little boy names Jon about four years old without any clothes or shoes. I found his home; he was living in a ditch dugout without any electricity or running water. Our organization strives to help children like Jon by donating our time, money and resources.  ",3-EMOTION,0,4-LOGIC
I found his home; he was living in a ditch dugout without any electricity or running water.,3-EMOTION,0,4-LOGIC
"Our organization strives to help children like Jon by donating our time, money and resources.",3-EMOTION,0,4-LOGIC
I am glad you understand the severity of his situation. There are so many more out there just like him! I try to donate 10% of my paycheck each month to send over to Ugandan children. I waste so much money on unnecessary things like coffee and donuts that I could be helping someone with!,3-EMOTION,0,4-LOGIC
I waste so much money on unnecessary things like coffee and donuts that I could be helping someone with!,3-EMOTION,0,4-LOGIC
I am glad you understand the severity of his situation.,3-EMOTION,0,4-LOGIC
There are so many more out there just like him!,3-EMOTION,0,4-LOGIC
"Yes Syria is just as bad. I wish we could help all of them, but all we can help is one at a time with the resources we have. ",3-EMOTION,0,4-LOGIC
Thanks so much for listening to my story! ,1-RAPPORT,0,4-LOGIC
Yes Syria is just as bad.,3-EMOTION,0,4-LOGIC
Thats wonderful. Could you spare some of your payment for this task to Save the Children today? We'd appreciate it immensely. ,2-NEGOTIATE,0,4-LOGIC
"That is wonderful, thank so much.",1-RAPPORT,0,4-LOGIC
Great. Jon will appreciate your gift so much! ,3-EMOTION,0,4-LOGIC
Hello?,8-NO-PERSUASION,0,4-LOGIC
"Same, would you like to donate to Save the children?",2-NEGOTIATE,0,4-LOGIC
"For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. Your donation would be a small part in keeping the children safe from the violence.",3-EMOTION,0,4-LOGIC
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",3-EMOTION,0,4-LOGIC
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",3-EMOTION,0,4-LOGIC
Your donation would be a small part in keeping the children safe from the violence.,3-EMOTION,0,4-LOGIC
"Yes, this donation is a one time thing. But if you like to continue donating your welcome to do so, how much would you like to donate?",2-NEGOTIATE,0,4-LOGIC
"Your a great person and thanks again, have a nice day.",1-RAPPORT,0,4-LOGIC
Thats great.,1-RAPPORT,0,4-LOGIC
I try to do a couple hundred a year,1-RAPPORT,0,4-LOGIC
"yes, thank you.",1-RAPPORT,0,4-LOGIC
that is very generous!,1-RAPPORT,0,4-LOGIC
Hi,8-NO-PERSUASION,0,4-LOGIC
Yes I know something about that.,8-NO-PERSUASION,0,4-LOGIC
Yes I donate in one year back.,1-RAPPORT,0,4-LOGIC
I donate 50 dollars.,1-RAPPORT,0,4-LOGIC
Will you donate for the charity?,2-NEGOTIATE,0,4-LOGIC
Wow super how much will you like to donate?,2-NEGOTIATE,0,4-LOGIC
oh super. Today will you like to donate.,2-NEGOTIATE,0,4-LOGIC
Oh super Have a nice day.,1-RAPPORT,0,4-LOGIC
hello,8-NO-PERSUASION,0,4-LOGIC
how much would you like to donate?,2-NEGOTIATE,0,4-LOGIC
"the donation will be user for kids who are poor, no parents, diabilities, to help get them on their feet",3-EMOTION,0,4-LOGIC
"Save the Children is and how their donation is essential to help ensuring children's rights to health, education, safety, etc.",3-EMOTION,0,4-LOGIC
Yor donation will make a tangible impact for the world,3-EMOTION,0,4-LOGIC
over a decade.,5-AUTHORITY,0,4-LOGIC
"or instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",3-EMOTION,0,4-LOGIC
"""How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2)."" ",2-NEGOTIATE,0,4-LOGIC
how much money do you spend on unnecessary stuff like a bag of snack or candyÿ  that money can be used in more meaningful ways.,3-EMOTION,0,4-LOGIC
Small donations will indeed help a lot of children and their families,3-EMOTION,0,4-LOGIC
"""How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2)."" ",2-NEGOTIATE,0,4-LOGIC
I am doing pretty well now that the 3 day weekend has arrived :),1-RAPPORT,0,4-LOGIC
Ok I just want to know a little more about you.,1-RAPPORT,0,4-LOGIC
I hear ya there!,1-RAPPORT,0,4-LOGIC
Wow that is admirable!,1-RAPPORT,0,4-LOGIC
I have donated as well whenever I can. ,1-RAPPORT,0,4-LOGIC
"Because of a lack of support for children in developing countries, especially in war zones.",3-EMOTION,0,4-LOGIC
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",3-EMOTION,0,4-LOGIC
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",3-EMOTION,0,4-LOGIC
Save the Children is focusing on getting these children into safety.,3-EMOTION,0,4-LOGIC
"Yes, that is more than acceptable and very generous of you.  ",1-RAPPORT,0,4-LOGIC
"Cool,  I hope you have a good weekend",1-RAPPORT,0,4-LOGIC
Hi there.  Have you ever thought about who the most vulnerable people are when a natural disaster strikes?  Or when there's political unrest?,3-EMOTION,0,4-LOGIC
Hi there.,3-EMOTION,0,4-LOGIC
Or when there's political unrest?,3-EMOTION,0,4-LOGIC
"Actually, I'm really troubled by the answer.  In countries like Syria, 1000 children have been killed during the civil war.  Isn't that insane?",3-EMOTION,0,4-LOGIC
"Actually, I'm really troubled by the answer.",3-EMOTION,0,4-LOGIC
Isn't that insane?,3-EMOTION,0,4-LOGIC
"Seriously.  Adults often can't fend for themselves when there's a crisis, but children are especially vulnerable.  Do you think that if you could do something to help Syrian children or children in Indonesia, which just experienced an earthquake, you would?. ",3-EMOTION,0,4-LOGIC
"Adults often can't fend for themselves when there's a crisis, but children are especially vulnerable.",3-EMOTION,0,4-LOGIC
Seriously.,3-EMOTION,0,4-LOGIC
"Yeah, me too. ",1-RAPPORT,0,4-LOGIC
"It's actually been around since 1919, when it was founded by this woman in London right after World War I",5-AUTHORITY,0,4-LOGIC
"I know I haven't given you that much info, but do you think you might want to donate part of your proceeds for this task to Save the Children?",2-NEGOTIATE,0,4-LOGIC
I believe so.,5-AUTHORITY,0,4-LOGIC
Would you be willing to donate 10 cents? How much would you like to donate?,2-NEGOTIATE,0,4-LOGIC
You coud always donate more if you prefer,2-NEGOTIATE,0,4-LOGIC
ME TOO!,1-RAPPORT,0,4-LOGIC
Thank you for considering a donation of 12 whole cents.,3-EMOTION,0,4-LOGIC
I know what a burden that could be.,3-EMOTION,0,4-LOGIC
Think of all the meals 12 cents could provide.,3-EMOTION,0,4-LOGIC
You're the real MVP.  Thank you!,1-RAPPORT,0,4-LOGIC
Good evening,8-NO-PERSUASION,0,4-LOGIC
"A portion of doantions got to Syria, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",3-EMOTION,0,4-LOGIC
"Even a $0.25 will be a huge contribution, and help children around the world",3-EMOTION,0,4-LOGIC
Any money donations can be used in more meaningful ways. Small donations will indeed help a lot of children and their families. You will be part of a solution around the world.,3-EMOTION,0,4-LOGIC
Small donations will indeed help a lot of children and their families.,3-EMOTION,0,4-LOGIC
Yes! We are international organization.,5-AUTHORITY,0,4-LOGIC
Would you be interested in helping us fund one of our projects today?,2-NEGOTIATE,0,4-LOGIC
"A small donation, of what you would spend in a vending machine on a snack for example, will greatly help us reach our goals",3-EMOTION,0,4-LOGIC
Yes!,5-AUTHORITY,0,4-LOGIC
I understand.,1-RAPPORT,0,4-LOGIC
"That is wonderful you are invovled in your local relief services. Please know that I only ask because we serve children in many areas were locals like yourself are not as kind, willing or able to provide support, which is why support such as yours is so valuable to our projects",3-EMOTION,0,4-LOGIC
That is wonderful! Thank you so much for your kind donation. ,1-RAPPORT,0,4-LOGIC
You are an inspiring person and I hope more people follow your lead.,1-RAPPORT,0,4-LOGIC
Thank you for your time and kindness.,1-RAPPORT,0,4-LOGIC
i am ready,8-NO-PERSUASION,0,4-LOGIC
ok then its your wish,8-NO-PERSUASION,0,4-LOGIC
are you sure to donate,2-NEGOTIATE,0,4-LOGIC
"ok, please donate over 10dollars",2-NEGOTIATE,0,4-LOGIC
It can really make a difference.,3-EMOTION,0,4-LOGIC
"Ah, so you noticed. ;-)",3-EMOTION,0,4-LOGIC
"Well, then. You are a scallywag ninny!",3-EMOTION,0,4-LOGIC
Half.,2-NEGOTIATE,0,4-LOGIC
Deal?,2-NEGOTIATE,0,4-LOGIC
"At least you\'re ""half"" decent. ;-)",3-EMOTION,0,4-LOGIC
"We do Offer programs where you You can choose to sponsor a child in the US, or sponsor a child from around the world!",4-LOGIC,1,4-LOGIC
Remember every penny Donated is another step towards bettering a child's future,3-EMOTION,0,4-LOGIC
"Save the children has been round for almost 100 years! save the children was founded on april 15,1919",5-AUTHORITY,0,4-LOGIC
Would you like to donate to a children's charity called Save the Children?,2-NEGOTIATE,0,4-LOGIC
"Syria, Thousands of kids die in just a quarter of a year over there and you could help save them with just some pocket change.",3-EMOTION,0,4-LOGIC
"London, United Kingdom.",5-AUTHORITY,0,4-LOGIC
"You don't have to take my word for it, you can check them out at  URL  they have helped countless children around the globe, their credential are Impeccable!",5-AUTHORITY,0,4-LOGIC
"I'm sure you've made some frivolous purchases, we all have. I'm only asking for you to pick the kids today. Every bit counts.",3-EMOTION,0,4-LOGIC
I'm only asking for you to pick the kids today.,3-EMOTION,0,4-LOGIC
Every bit counts.,3-EMOTION,0,4-LOGIC
No problem and thank you for helping children in need. You should feel proud.,1-RAPPORT,0,4-LOGIC
That's great to hear. Sounds like less of an uphill battle for me then.,3-EMOTION,0,4-LOGIC
"You're clearly a well-informed, and caring person.",1-RAPPORT,0,4-LOGIC
And you're making my job easy! ,3-EMOTION,0,4-LOGIC
