text,1-RAPPORT,2-NEGOTIATE,3-EMOTION,4-LOGIC,5-AUTHORITY,6-SOCIAL,7-PRESSURE,8-NO-PERSUASION
 u tell me i have no idea where u r but a 1/2 hr away,0,0,0,0,0,0,0,1
 call me back,0,0,0,0,0,0,0,1
 ok,0,0,0,0,0,0,0,1
 sure,0,0,0,0,0,0,0,1
 np,0,0,0,0,0,0,0,1
 so do u know what town,1,0,0,0,0,0,0,1
 u gona tell me,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 nothing nothing at all talk came into my mind,0,1,0,0,0,0,1,0
 u have something else on your mind,0,0,0,0,0,0,0,1
 call,1,0,0,0,0,0,0,1
 so what do u think,0,0,0,0,0,0,0,1
 u wont be bored>:),0,0,0,0,0,0,0,1
 trust me,0,0,0,0,0,0,0,1
 ya buy u a soda 4 starts,1,0,0,0,0,0,0,0
 call me,0,0,0,0,0,0,0,1
 and ill tell u,0,0,0,0,0,0,0,1
 and where is it u live,0,0,0,0,0,0,0,1
 do u want me to call u,0,1,0,0,0,0,0,1
 ok,0,1,0,0,0,0,1,1
 ok,0,0,0,0,0,0,0,1
 np,0,0,0,0,0,0,0,1
 so where is it that u live,0,0,0,0,0,0,0,1
 if u like,0,0,0,0,0,0,0,1
 what happen,0,0,0,0,0,0,0,1
 yes,0,0,0,0,0,0,0,1
 yes,0,0,0,0,0,0,0,1
 u decline,0,0,0,0,0,0,0,1
 yes,0,0,0,0,0,0,0,1
 by 7,0,0,0,0,0,0,0,1
 have to pick up by wife,0,0,0,0,0,0,0,1
 we can meet 4 the sake of meeting,0,0,0,0,0,0,0,1
 and who knows,1,0,0,0,0,0,0,1
 we can do it again if it clicks,0,0,0,0,0,0,0,1
 call me,0,0,0,0,0,0,0,1
 call me,1,0,0,0,0,0,0,0
 meet again,0,0,0,0,0,0,0,1
 4 a longer time,0,0,0,0,0,0,0,1
 and 4 who knows,1,0,0,0,0,0,0,1
 mmmmmmmmmmm>:),0,0,0,0,0,0,1,1
 skirt,0,0,0,0,0,0,0,1
 no no,0,0,0,0,0,0,0,1
 play with u,0,0,0,0,0,0,0,1
 hold u kiss u,0,0,0,0,0,0,0,1
 feel u,0,0,0,0,0,0,0,1
 all over,0,0,0,0,0,0,0,1
 call me,0,0,0,0,0,0,0,1
 lets meet,1,0,0,0,0,0,0,1
 times a wasting,0,0,0,0,0,0,0,1
 well,0,1,0,0,0,0,0,1
 meet me,0,1,0,0,0,0,0,1
 :-?,0,0,1,0,0,0,0,1
 u there,0,0,0,0,0,0,0,1
 ok,0,0,1,0,0,0,1,0
 what happen,0,0,0,0,0,0,1,1
 ok,0,0,0,0,0,0,1,1
 i need and address,1,0,0,0,0,0,0,1
 so i can map quest it,0,0,0,0,0,0,0,1
 ok fair enough,0,0,0,0,0,0,0,1
 theen give me your address,0,0,0,0,0,0,0,1
 u bet,0,0,0,0,0,0,0,1
 have u ever had a guy go down on u,0,0,0,0,0,0,0,1
 eat your pussy,0,0,0,0,0,0,0,1
 would u like that,0,1,0,0,0,0,0,1
 have u ever given head,0,0,0,0,0,0,0,1
 cool,0,0,0,0,0,0,0,1
 so r u game,1,0,1,0,0,0,0,0
 your address,0,0,0,0,0,0,0,1
 r u off from school now,0,0,0,0,0,0,0,1
 do i like what,1,1,0,0,0,0,0,1
 yesssssssssssssss,0,0,0,0,0,0,0,1
 yessssssssssssssssss,0,1,0,0,0,0,1,1
 and what was that,0,1,0,0,0,0,0,1
 yes yes yes,0,0,0,0,0,0,0,1
 make u cum,0,0,0,0,0,0,0,1
 a number of times,1,0,0,0,0,0,0,1
 waiting 4 u,0,0,0,0,0,0,0,1
 zip code,1,0,0,0,0,0,0,1
 r u off tomorrow,0,0,0,0,0,0,0,1
 we can make a day of it,0,0,0,0,0,0,0,1
 listern i can only stay a 1/2 hr,0,0,0,0,0,0,0,1
 how do i get it touch,1,0,0,0,0,0,0,1
 when i leave wher do i meet u,0,0,0,0,0,0,0,1
 want to make it tomorrow,1,0,0,0,0,0,0,1
 love your style,0,0,0,0,0,0,0,1
 it will take a good 1/2 hr and then i have to turn around,0,0,1,0,0,0,0,1
 lets make it 4 tomorrow,1,0,0,0,0,0,0,1
 i stll have to look it up,0,0,0,0,0,0,0,1
 no,0,0,0,0,0,0,0,1
 ok going,0,0,0,0,0,0,0,1
 where am i meet u at the beach,0,1,0,0,0,0,0,1
 blue blazer,0,0,0,0,0,0,0,1
 ok leaving look 4 me,0,0,0,0,0,0,0,1
 hi liz,0,0,0,0,0,0,0,1
 nothing much...how have u been doin,0,0,0,0,0,0,0,1
 anything good,0,0,0,0,0,0,0,1
 it's ok,0,0,0,0,0,0,0,1
 what's wrong,0,0,0,0,0,0,0,1
 finish ur homework,0,0,0,0,0,0,0,1
 good,1,0,1,0,0,0,0,1
 mom workin,0,0,0,0,0,0,0,1
 what day she works,1,0,0,0,0,0,0,1
 oh ok,0,0,0,0,0,0,0,1
 does she knows computer,0,0,0,0,0,0,0,1
 she might check on ya;),0,0,0,0,0,0,0,1
 hehehe,1,0,1,0,0,0,0,1
 ur room,0,0,0,0,0,0,0,1
 nice bedroom u got,0,1,0,0,0,0,0,1
 may I sleep there..few hrs:d,1,0,0,0,0,0,0,1
 hihi,0,0,0,0,0,0,0,1
 j/k,1,1,0,0,0,0,0,1
 so..study hard,0,0,0,0,0,0,0,1
 I might help ya,1,0,0,0,0,0,0,1
 math i m ok,0,0,0,0,0,0,0,1
 math I guess,1,0,0,0,0,0,0,1
 maybe have ur BF help ya out,1,0,0,0,0,0,0,1
 ;),0,0,0,0,0,0,0,1
 oh ok...,1,0,0,0,0,0,0,1
 the EX one huh,0,0,1,0,0,0,0,1
 the one finger ya,0,0,0,0,0,0,0,1
 how long was that,1,0,0,0,0,0,0,1
 Hello,0,0,0,0,0,0,0,1
 Whatcha doin?,0,0,0,0,0,0,0,1
 Oh yeah hows brad and darla??? Lol,0,0,0,0,0,0,0,1
 Thxs ;;),0,0,0,0,0,0,0,1
 Oh i c lol,0,0,0,0,0,0,0,1
 Idk,1,0,0,0,0,0,0,0
 Yeah school is kinda boring.,0,0,0,0,0,0,0,1
 They just do when u get older time slows down lol,0,0,0,0,0,0,0,1
 Yeah,0,0,0,0,0,0,0,1
 Well i going to eat i chat with u later.,0,0,0,0,0,0,0,1
 >:D<,1,0,0,0,0,0,0,0
 hi girl....sorry i missed u....just checking to see if u were here,1,0,1,0,0,0,0,0
 have a good day baby,0,0,0,0,0,0,0,1
 hi,0,0,0,0,0,0,0,1
 are u there,0,0,0,0,0,0,0,1
 hi,0,0,0,0,0,0,0,1
 wish u were here,0,0,0,0,0,0,0,1
 are u there,0,0,0,0,0,0,0,1
 None,1,0,0,0,0,0,0,0
 jackenit_6in,0,0,0,0,0,0,0,1
 hi,0,0,0,0,0,0,0,1
 are u there,1,0,0,0,0,0,0,0
" hey there,i'm glad u came on..did u get my off line message?",1,0,0,0,0,0,0,0
" i did map quest and got directions,but now i cant find them.i just need the addy again so i can map quest again is all",0,1,0,0,0,0,0,0
" i did'nt put it in my wallet hon,i did'nt think",0,0,0,0,0,0,0,1
 yes i do,0,0,0,0,0,0,0,1
 so how are you today,1,0,0,0,0,0,0,0
 u gonna nap befor i get there,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
" i'll be leaving here around 1230,i have my clothes drying..but i am commin sweety",0,0,0,0,0,0,0,1
 i hav'nt redone it yet but your down toward columbus right?,0,0,0,0,0,0,0,1
 ok well it takes an hour to maby an hour and 15 minutes to get to columbus.,0,0,0,0,0,0,0,1
 so if i leave at 1230 i should be there around 145 or 2 give or take..and allow for traffic which should'nt be bad at all,0,0,0,0,0,0,0,1
" yep,i had planned to leave sooner but got a late start on things this morning and am just a little behind",0,0,0,0,0,0,0,1
 but i would miss being with you at all,1,0,0,0,0,0,0,0
 lol,0,0,0,0,0,0,0,1
 and i'll try not to at anytime,0,0,0,0,0,0,0,1
 so will you just come out and get in the truck when i get there or do you wanna meet up the road a little?,1,0,0,0,0,0,0,0
 ok,0,0,0,0,0,0,0,1
 ok i'll do that,0,0,0,0,0,0,0,1
 i'm sure it'll fit fine,1,0,0,0,0,0,0,0
 lol u got what i was sayin..i knew u were smart lol,1,0,0,0,0,0,0,0
 i knew that already lol,1,0,0,0,0,0,0,0
" yeah it will be good,every part of it lol....i do like ur quick witts and thought process....",1,0,0,0,0,0,0,0
 ur welcome,0,0,0,0,0,0,0,1
" i hope ur not nervous and or disapointed with me,i dont think u will be i have told you the truth about me...but i am kinda nervous ,only because i want this to be as good as it can be and you be glad we went for it",1,0,1,0,0,0,1,0
" cool,well i wont worrie at all then",0,0,0,0,0,0,0,1
 we'll have a ball and a pleasurable time togather,1,0,0,0,0,0,0,0
 lol i wont,0,0,0,0,0,0,0,1
" brb,gonna check on my clothes",0,0,0,0,0,0,0,1
 well there gettin there,0,0,0,0,0,0,0,1
 should'nt be long,1,0,0,0,0,0,0,0
 did'nt u say ur mom's goin off to her friend's today?or is it tomorrow?,1,0,0,0,0,0,0,0
 here's the directions from mapquest..i-85 south/ga411.exit 21 toward columbus.then take exit 19 onto hwy 315 it becomes fortson..estimated time say's 1 hr 22 min,0,0,0,0,0,0,0,1
 does hwy 315 sound right,0,0,0,0,0,0,0,1
 cool,0,0,0,0,0,0,0,1
 ok and 315 turns into fortson right to you,0,0,0,0,0,0,0,1
 u have my cell number so u can call if u like to make sure i dont go wrong lol,0,0,0,0,0,0,0,1
 cement bunny huh,0,0,0,0,0,0,0,1
 cant miss that,0,0,1,0,0,0,0,0
 thats cool,0,0,0,0,0,0,0,1
 yep,0,0,0,0,0,0,0,1
 are you fully awake now hhahaha,0,0,0,0,0,0,0,1
 good then,0,0,0,0,0,0,0,1
" let me go check on clothes and get a couple things out of the way so i can get on down to you...i can'nt wait to get there and be with you,just because after our talk's i think actualy being with each other will be so much fun...",1,0,0,0,0,0,0,0
 i'll be back in a few minutes to let u know i'm leaving,1,0,1,0,0,0,0,0
 not have'nt read it yet,0,0,0,0,0,0,0,1
 its ok,0,0,0,0,0,0,0,1
 i will in the middle of somethng important will chat when done ok,0,0,0,0,0,0,0,1
 talking to my unit,0,0,0,0,0,0,0,1
 what,0,0,0,0,0,0,0,1
 no military,0,0,0,0,0,0,0,1
 no,0,0,0,0,0,0,0,1
 k,0,0,0,0,0,0,0,1
 i know your tired so em i,0,0,0,0,0,0,0,1
 no they dont,0,0,0,0,0,0,0,1
 no border patrol,1,0,0,0,0,0,0,0
 wait.like home land security,1,0,0,0,0,0,0,0
 yep,0,0,0,0,0,0,0,1
 me to,0,0,0,0,0,0,0,1
 ok will be on,0,0,0,0,0,0,0,1
 i want to we will talk ok,1,0,0,0,0,0,0,0
 no i did'nt say that i'am in the middle of test,0,0,0,0,0,0,0,1
 its ok let me finish,0,0,1,0,0,0,0,0
 ok,0,0,0,0,0,0,0,1
 hello beautiful!,0,0,0,0,0,0,0,1
 :-*,0,0,0,0,0,0,0,1
 short week )))),0,0,0,0,0,0,0,1
 jst got home from work !!!!>:P,0,0,0,0,0,0,0,1
" yes I know (( late day for me,, I dont normally get home like this ((",0,0,0,0,0,0,0,1
" ok,, sweetness ,, going to watch the basketball game w/ some friends of mine!!",0,0,1,0,0,0,0,0
" yes,, I missed you,, havent had much chance to chat (",0,0,0,0,0,0,0,1
" keep a day on the weekend open for me,, and I'll come see you!",0,0,1,0,0,0,0,0
 after thanksgiving,0,1,0,0,0,0,0,0
 :-*,0,0,0,0,0,0,0,1
 we'll see if your as hot in pic as real life !,1,0,1,0,0,0,0,0
 ;),0,0,1,0,0,0,0,0
 think you could get out?,0,0,0,0,0,0,0,1
" we'll see,,,would be cool tho",0,1,0,0,0,0,0,0
 :-*,0,0,0,0,0,0,0,1
" ok, sweetness,, gotta go~!~ ttyl !~~",0,0,0,0,0,0,0,1
 >:D<:-*>:D<.,0,0,0,0,0,0,0,1
 dont miss me to much either ),0,0,1,0,0,0,0,0
 hehe,0,0,0,0,0,0,0,1
 bye sweetness!,0,0,1,0,0,0,0,0
 hey cutie,1,0,0,0,0,0,0,0
 remember me?,0,0,0,0,0,0,0,1
 None,1,0,0,0,0,0,0,0
 good,0,0,0,0,0,0,0,1
 so when are we going to hang out and watch those movies.,0,0,0,0,0,0,0,1
 cool. do you think we can hang out tomorrow?,0,0,0,0,0,0,0,1
 oh ok. so next weekend for sure?,0,0,0,0,0,0,0,1
 don't say sorry.,0,1,0,0,0,0,0,0
 I understand,0,0,0,0,0,0,0,1
 awesome. what is so specific for next week?,0,0,0,0,0,0,0,1
 hold on,1,0,0,0,0,0,0,0
 be back,0,0,0,0,0,0,0,1
 back,0,0,0,0,0,0,0,1
 so what makes next week the week that you can hang out?,0,0,0,0,0,0,0,1
 u there?,0,0,0,0,0,0,0,1
 hey lol i ordered the pizza,0,0,0,0,0,0,0,1
 well it might be a while befor i get there but im pickin it up soon then headin down,0,0,0,0,0,0,0,1
" cool,cant wait to see ya",0,0,0,0,0,0,0,1
 yay! thats so cool,0,0,0,0,0,0,0,1
 thanx,1,0,0,0,0,0,0,0
 yeah i got home after 12 last nite,0,0,0,0,0,0,0,1
 yah i did,0,0,0,0,0,0,0,1
 but not as much fun as im gonna have today n tonite lol,0,0,0,0,0,0,0,1
 got the large supreme with pineapple for ya,1,0,1,0,0,0,0,0
" cool lol i know its ur favrite,they didnt have garlic butter tho",0,0,0,0,0,0,0,1
" ok good,im all set,ill leave in a few to pick up the pizza then jump on the parkway n head down",0,0,0,0,0,0,0,1
 i will colie dont worry,0,0,0,0,0,0,0,1
 it should take like hour n 1/2 so im givin myself lotsa time but i got good directions,1,0,0,0,0,0,0,0
 i know me too !,0,0,0,0,0,0,0,1
 anything else u want me to bring,0,0,1,0,0,0,0,0
 ok what flavor,1,0,0,0,0,0,0,0
" yeah they do,i dont know if they have big bottles or just small ones",0,0,0,0,0,0,0,1
 how many you want,0,0,0,0,0,0,0,1
 ok lol u got it,0,0,0,0,0,0,0,1
 anything else,0,0,0,0,0,0,0,1
 ok u know u got that,1,0,0,0,0,0,0,0
 n i got condoms too,0,0,0,0,0,0,0,1
 lol i know dont worry probly kill me too,0,0,0,0,0,0,0,1
 ok well im gonna go pick up the snapple n pizza and head down,1,0,1,0,0,0,0,0
 ok cya soon too,1,0,0,0,0,0,0,0
 oh in case i gotta call u whats ur #,0,0,0,0,0,0,0,1
 ok,0,0,0,0,0,0,0,1
" ok i gotcha if i dont pick up just leave msg,ill see the # on id",0,0,0,0,0,0,0,1
 ok cya soon hon,0,0,0,0,0,0,0,1
 im back,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 lol ok,0,0,0,0,0,0,0,1
 so whats up,0,0,0,0,0,0,0,1
 crashed,0,0,0,0,0,0,0,1
 comp died,0,0,0,0,0,0,0,1
 yeah it happens,0,0,0,0,0,0,0,1
 hows my lil sweetie today??,0,0,0,0,0,0,0,1
 tired,0,0,0,0,0,0,0,1
 babysat today,0,0,0,0,0,0,0,1
 my siters,0,0,0,0,0,0,0,1
 Sisters*,0,0,0,0,0,0,0,1
 4 plus my 2,0,0,0,0,0,0,0,1
 yeah,1,0,0,0,0,0,0,0
 3,0,0,0,0,0,0,0,1
 miss me today,0,0,0,0,0,0,0,1
 yeally?,0,0,0,0,0,0,0,1
 no no it doesnt,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 you are too cool,0,0,0,0,0,0,0,1
 your funny,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 like 3,0,0,0,0,0,0,0,1
 a couple friends and you,0,0,0,0,0,0,0,1
 no,0,0,0,0,0,0,0,1
 you dont need to,1,0,0,0,0,0,0,0
 i like talking to you,1,0,0,0,0,0,0,0
 i also use this chat thing called imvu,1,0,0,0,0,0,0,0
 its all 3d and stuff,0,0,0,0,0,0,0,1
 did you think of me last night?,1,0,0,0,0,0,0,0
 lol took you long enough,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 ok i will forgive you this time,1,0,0,0,0,0,0,0
 lol,0,0,0,0,0,0,0,1
 goodthat wouldn't be too attractive,0,0,0,0,0,0,0,1
 so you eally want to met me?,0,0,0,0,0,0,0,1
 ok,0,0,1,0,0,0,0,0
 gonna dress sexy for me?,0,0,0,0,0,0,0,1
 the sexiest thing you have,0,0,0,0,0,0,0,1
 umm how about something red?,1,0,1,0,0,0,0,0
 lol yep,0,0,0,0,0,0,0,1
 dress?,0,0,0,0,0,0,0,1
 ok,1,0,0,0,0,0,0,0
 red thong?,0,0,0,0,0,0,0,1
 lol,0,0,0,0,0,0,0,1
 well ell me what you think the sexest thin you have is,1,0,0,0,0,0,0,0
 hey,0,0,0,0,0,0,0,1
 hows it going,0,0,0,0,0,0,0,1
 ya same here...............alot of snow,0,0,0,0,0,0,0,1
 i have my ticket and will leave here fri at 11am be there at 2pm,0,0,0,0,0,0,0,1
 no i dont think so,0,0,0,0,0,0,0,1
 why u want to go swimming,0,0,0,0,0,0,0,1
 well i see if there is a gym there or something ok,0,0,0,0,0,0,0,1
 just let me worry about how to get places,0,0,0,0,0,0,0,1
 but i'am almost packed,0,1,1,0,0,0,0,0
 nope,0,0,0,0,0,0,0,1
 :-(,0,0,0,0,0,0,0,1
 ooooooooooo nice,0,0,0,0,0,0,0,1
 why,1,0,0,0,0,0,0,0
 u go boy,0,0,0,0,0,0,0,1
 i know.........just being funny,1,0,0,0,0,0,0,0
 u got mail,0,0,0,0,0,0,0,1
 thought u might like it,1,0,0,0,0,0,0,0
" wait til u see me in person,,,,,,,,,,thats for real",1,0,0,0,0,0,0,0
 u will see me in about 30 some hrs,1,0,0,0,0,0,0,0
 what do u mean,0,0,0,0,0,0,0,1
 tell me,0,0,0,0,0,0,0,1
 well be ok.........well take it slow and easy get to know each other better,0,0,0,0,0,0,0,1
 now u will tell me if your scared wont u,1,0,1,0,0,0,0,0
 luke.........u there,0,0,0,0,0,0,0,1
 u busy :-*,0,0,1,0,0,0,0,0
 ok let me know when u are back,1,0,0,0,0,0,0,0
 oooooooooooo i see,1,0,0,0,0,0,0,0
 did u see what i wrote,0,0,0,0,0,0,0,1
 u will let me know if u do,1,0,0,0,0,0,0,0
 ok kool........what r u going to tell your grandma,1,0,0,0,0,0,0,0
 what about staying the nite,1,0,0,0,0,0,0,0
 ok theres a couple days,0,1,0,0,0,0,0,0
 dam :-(,0,0,0,0,0,0,0,1
 from the motel,0,0,0,0,0,0,0,1
 lol lol,0,0,0,0,0,0,0,1
 well talk when i get there,0,0,0,0,0,0,0,1
 kool,0,0,0,0,0,0,0,1
 well have fun no matter what,1,0,1,0,0,0,0,0
 ok i'll wont be on tomorrow so i will see u friday,1,0,1,0,0,0,0,0
 lov ya O:-),0,0,0,0,0,0,0,1
 kk,0,0,0,0,0,0,0,1
 Maddie,0,0,0,0,0,0,0,1
 Hon I cant do. I could go to jail for 20 years. I gave bever dione antthing wring in my life.,0,0,1,1,0,0,0,0
 How??,0,0,0,0,0,0,0,1
